ot,mins,secs,time,torScore,bosScore,margin
1,5,00,0,98,98,0
1,4,17,0.716666667,99,98,1
1,4,13,0.783333333,99,100,-1
1,3,51,1.15,101,100,1
1,3,10,1.833333333,101,102,-1
1,2,26,2.566666667,101,104,-3
1,2,02,2.966666667,104,104,0
1,1,32,3.466666667,105,104,1
1,1,32,3.466666667,106,104,2
1,0,18,4.7,106,105,1
1,0,18,4.7,106,106,0
2,5,00,5,106,106,0
2,4,38,5.366666667,106,108,-2
2,4,02,5.966666667,106,110,-4
2,3,32,6.466666667,108,110,-2
2,2,33,7.45,109,110,-1
2,2,33,7.45,110,110,0
2,2,16,7.733333333,110,112,-2
2,1,55,8.083333333,112,112,0
2,1,37,8.383333333,112,115,-3
2,1,23,8.616666667,115,115,0
2,1,10,8.833333333,115,117,-2
2,0,57,9.05,118,117,1
2,0,38,9.366666667,120,117,3
2,0,38,9.366666667,121,117,4
2,0,33,9.45,121,119,2
2,0,11,9.816666667,123,119,4
2,0,06,9.9,123,122,1
2,0,05,9.916666667,124,122,2
2,0,05,9.916666667,125,122,3
2,0,00,10,125,122,3
